Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
340,92,Sup. const. total,m2,655
340,1245,Sup. del terreny,m2,656
341,0,Sup. const. sobre rasant,m2,657
341,0,Sup. const. sota rasant,m2,658
341,0,Sup. const. total,m2,659
341,0,Sup. del terreny,m2,660
342,0,Sup. const. sobre rasant,m2,661
342,0,Sup. const. sota rasant,m2,662
342,0,Sup. const. total,m2,663
342,0,Sup. del terreny,m2,664
343,0,Sup. const. sobre rasant,m2,665
343,0,Sup. const. sota rasant,m2,666
343,0,Sup. const. total,m2,667
343,0,Sup. del terreny,m2,668
345,0,Sup. const. sobre rasant,m2,669
345,0,Sup. const. sota rasant,m2,670
345,0,Sup. const. total,m2,671
345,450,Sup. del terreny,m2,672
346,513,Sup. const. sobre rasant,m2,673
346,0,Sup. const. sota rasant,m2,674
346,513,Sup. const. total,m2,675
346,1200,Sup. del terreny,m2,676
